定刻,出発時間,行先,ゲート番号,滑走路,滑走路到着時間,遅延
15:50,15:50,沖縄/那覇,D6,S,15:55,0
15:55,15:55,対馬,D81,X,16:04,0
15:55,15:55,名古屋/中部,D1,S,16:00,0
15:55,15:56,東京,D6,S,16:02,1
15:55,15:55,マニラ,I53,S,16:07,0
16:00,16:00,名古屋/中部,D5,X,16:08,0
16:10,16:10,東京,D8,X,16:15,0
16:15,16:15,大阪,D81,X,16:24,0
16:20,16:20,東京,D9,S,16:25,0
16:20,16:20,東京,D3,X,16:26,0
16:30,16:30,名古屋/小牧,D2,X,16:36,0
16:30,16:30,仙台,D82,S,16:38,0
16:45,16:45,沖縄/那覇,D6,X,16:50,0
16:45,16:45,松山,D11,S,16:51,0
16:55,16:55,天草,D81,X,17:04,0
16:55,16:55,沖縄/那覇,D1,S,17:00,0
16:55,16:56,東京,D7,S,17:02,1
17:00,17:00,福江,D82,X,17:09,0
17:00,17:01,成田,D4,S,17:06,1
17:00,17:01,沖縄/那覇,D1,S,17:08,1
17:05,17:05,東京,D10,S,17:14,0
17:15,17:15,高知,D12,X,17:22,0
17:20,17:20,沖縄/那覇,D5,S,17:25,0
17:25,17:25,新潟,D81,X,17:34,0
17:30,17:30,東京,D8,S,17:35,0
17:30,17:30,出雲,D81,X,17:39,0
17:35,17:35,ソウル/仁川,I54,S,17:44,0
17:40,17:40,小松,D82,X,17:49,0
17:40,17:41,東京,D3,S,17:46,1
17:45,17:45,大阪,D11,S,17:51,0
17:50,17:50,東京,D9,S,17:55,0
17:55,17:55,沖縄/那覇,D1,S,18:00,0
18:00,18:00,関西,D2,S,18:05,0
18:00,18:00,東京,D6,X,18:05,0
18:00,18:00,ソウル/仁川,I53,S,18:10,0
18:10,18:10,対馬,D81,S,18:18,0
18:25,18:25,徳島,D12,X,18:32,0
18:25,18:25,宮崎,D82,S,18:33,0
18:30,18:30,静岡,D5,S,18:35,0
18:30,18:30,名古屋/中部,D11,X,18:37,0
18:35,18:35,東京,D10,X,18:41,0
18:35,18:35,沖縄/那覇,D7,S,18:40,0
18:35,18:36,茨城,D3,S,18:42,1
18:40,18:40,名古屋/小牧,D1,X,18:46,0
18:40,18:40,成田,D1,S,18:45,0
18:40,18:41,成田,D4,S,18:47,1
18:55,18:55,大阪,D6,S,19:00,0
19:00,19:00,仙台,D82,X,19:09,0
19:00,19:00,東京,D11,S,19:06,0
19:00,,台北/桃園,,欠航,,
19:05,19:06,東京,D8,S,19:12,1
19:10,19:10,天草,D81,X,19:19,0
19:10,19:10,大阪,D6,S,19:15,0
19:10,,台北/桃園,,欠航,,
19:15,19:15,東京,D9,S,19:20,0
19:20,19:20,宮崎,D11,X,19:26,0
19:20,19:20,成田,D2,S,19:25,0
19:30,19:30,宮崎,D82,X,19:39,0
19:40,19:40,成田,D4,S,19:45,0
19:50,19:50,東京,D10,S,19:56,0
19:55,19:55,静岡,D1,X,20:01,0
20:00,20:00,東京,D7,S,20:05,0
20:00,20:00,東京,D5,X,20:06,0
20:05,20:05,名古屋/小牧,D2,X,20:11,0
20:10,20:10,宮崎,D8,S,20:15,0
20:10,20:10,名古屋/中部,D11,X,20:16,0
20:15,20:15,沖縄/那覇,D11,S,20:21,0
20:20,20:20,成田,D1,X,20:26,0
20:20,,高雄,,欠航,,
20:25,20:25,成田,D3,S,20:30,0
20:40,20:40,名古屋/中部,D4,S,20:45,0
20:50,20:50,東京,D9,X,20:56,0
20:55,20:55,沖縄/那覇,D12,S,21:01,0
21:00,21:00,東京,D6,S,21:05,0
21:00,,台北/桃園,,欠航,,
21:05,21:05,東京,D5,S,21:10,0
21:10,21:10,関西,D1,X,21:16,0
21:15,21:15,東京,D11,S,21:21,0
21:20,21:20,東京,D2,X,21:26,0
,,,,,,
平均遅延時間,1.513602054142602,[s],,,,
